Keys_CS,Genre,Species,Full,Country_basemap
Abramis brama Ireland,Abramis,brama,Abramis brama,Ireland
Abramis brama Italy,Abramis,brama,Abramis brama,Italy
Acipenser gueldenstaedtii Sweden,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,Sweden
Acipenser ruthenus Latvia,Acipenser,ruthenus,Acipenser ruthenus,Latvia
Acipenser ruthenus Sweden,Acipenser,ruthenus,Acipenser ruthenus,Sweden
Acipenser ruthenus United Kingdom,Acipenser,ruthenus,Acipenser ruthenus,United Kingdom
Alburnus alburnus Cyprus,Alburnus,alburnus,Alburnus alburnus,Cyprus
Alburnus alburnus Italy,Alburnus,alburnus,Alburnus alburnus,Italy
Alburnus alburnus Portugal,Alburnus,alburnus,Alburnus alburnus,Portugal
Alburnus alburnus Spain,Alburnus,alburnus,Alburnus alburnus,Spain
Amatitlania nigrofasciata Italy,Amatitlania,nigrofasciata,Amatitlania nigrofasciata,Italy
Ambloplites rupestris France,Ambloplites,rupestris,Ambloplites rupestris,France
Ambloplites rupestris United Kingdom,Ambloplites,rupestris,Ambloplites rupestris,United Kingdom
Ameiurus melas Austria,Ameiurus,melas,Ameiurus melas,Austria
Ameiurus melas Belgium,Ameiurus,melas,Ameiurus melas,Belgium
Ameiurus melas France,Ameiurus,melas,Ameiurus melas,France
Ameiurus melas Hungary,Ameiurus,melas,Ameiurus melas,Hungary
Ameiurus melas Hungary,Ameiurus,melas,Ameiurus melas,Hungary
Ameiurus melas Italy,Ameiurus,melas,Ameiurus melas,Italy
Ameiurus melas Netherlands,Ameiurus,melas,Ameiurus melas,Netherlands
Ameiurus melas Netherlands,Ameiurus,melas,Ameiurus melas,Netherlands
Ameiurus melas Netherlands,Ameiurus,melas,Ameiurus melas,Netherlands
Ameiurus melas Norway,Ameiurus,melas,Ameiurus melas,Norway
Ameiurus melas Poland,Ameiurus,melas,Ameiurus melas,Poland
Ameiurus melas Portugal,Ameiurus,melas,Ameiurus melas,Portugal
Ameiurus melas Spain,Ameiurus,melas,Ameiurus melas,Spain
Ameiurus melas Switzerland,Ameiurus,melas,Ameiurus melas,Switzerland
Ameiurus melas United Kingdom,Ameiurus,melas,Ameiurus melas,United Kingdom
Ameiurus natalis Italy,Ameiurus,natalis,Ameiurus natalis,Italy
Ameiurus nebulosus Austria,Ameiurus,nebulosus,Ameiurus nebulosus,Austria
Ameiurus nebulosus Belarus,Ameiurus,nebulosus,Ameiurus nebulosus,Belarus
Ameiurus nebulosus Belgium,Ameiurus,nebulosus,Ameiurus nebulosus,Belgium
Ameiurus nebulosus Bulgaria,Ameiurus,nebulosus,Ameiurus nebulosus,Bulgaria
Ameiurus nebulosus Czech Republic,Ameiurus,nebulosus,Ameiurus nebulosus,Czechia
Ameiurus nebulosus Denmark,Ameiurus,nebulosus,Ameiurus nebulosus,Denmark
Ameiurus nebulosus Finland,Ameiurus,nebulosus,Ameiurus nebulosus,Finland
Ameiurus nebulosus France,Ameiurus,nebulosus,Ameiurus nebulosus,France
Ameiurus nebulosus Germany,Ameiurus,nebulosus,Ameiurus nebulosus,Germany
Ameiurus nebulosus Hungary,Ameiurus,nebulosus,Ameiurus nebulosus,Hungary
Ameiurus nebulosus Ireland,Ameiurus,nebulosus,Ameiurus nebulosus,Ireland
Ameiurus nebulosus Italy,Ameiurus,nebulosus,Ameiurus nebulosus,Italy
Ameiurus nebulosus Netherlands,Ameiurus,nebulosus,Ameiurus nebulosus,Netherlands
Ameiurus nebulosus Poland,Ameiurus,nebulosus,Ameiurus nebulosus,Poland
Ameiurus nebulosus Romania,Ameiurus,nebulosus,Ameiurus nebulosus,Romania
Ameiurus nebulosus Slovakia,Ameiurus,nebulosus,Ameiurus nebulosus,Slovakia
Ameiurus nebulosus Spain,Ameiurus,nebulosus,Ameiurus nebulosus,Spain
Ameiurus nebulosus United Kingdom,Ameiurus,nebulosus,Ameiurus nebulosus,United Kingdom
Anguilla anguilla Finland,Anguilla,anguilla,Anguilla anguilla,Finland
Anguilla anguilla Romania,Anguilla,anguilla,Anguilla anguilla,Romania
Australoheros facetus Portugal,Australoheros,facetus,Australoheros facetus,Portugal
Australoheros facetus Spain,Australoheros,facetus,Australoheros facetus,Spain
Babka gymnotrachelus Austria,Babka,gymnotrachelus,Babka gymnotrachelus,Austria
Babka gymnotrachelus Poland,Babka,gymnotrachelus,Babka gymnotrachelus,Poland
Barbatula barbatula Ireland,Barbatula,barbatula,Barbatula barbatula,Ireland
Barbus balcanicus Italy,Barbus,balcanicus,Barbus balcanicus,Italy
Barbus barbus Italy,Barbus,barbus,Barbus barbus,Italy
Barbus barbus United Kingdom,Barbus,barbus,Barbus barbus,United Kingdom
Barbus cyclolepis Serbia,Barbus,cyclolepis,Barbus cyclolepis,Republic of Serbia
Barbus peloponnesius Italy,Barbus,peloponnesius,Barbus peloponnesius,Italy
Blicca bjoerkna Cyprus,Blicca,bjoerkna,Blicca bjoerkna,Cyprus
Blicca bjoerkna Italy,Blicca,bjoerkna,Blicca bjoerkna,Italy
Blicca bjoerkna Spain,Blicca,bjoerkna,Blicca bjoerkna,Spain
Carassius auratus Albania,Carassius,auratus,Carassius auratus,Albania
Carassius auratus Austria,Carassius,auratus,Carassius auratus,Austria
Carassius auratus Belgium,Carassius,auratus,Carassius auratus,Belgium
Carassius auratus Bulgaria,Carassius,auratus,Carassius auratus,Bulgaria
Carassius auratus Croatia,Carassius,auratus,Carassius auratus,Croatia
Carassius auratus Cyprus,Carassius,auratus,Carassius auratus,Cyprus
Carassius auratus Czech Republic,Carassius,auratus,Carassius auratus,Czechia
Carassius auratus Denmark,Carassius,auratus,Carassius auratus,Denmark
Carassius auratus France,Carassius,auratus,Carassius auratus,France
Carassius auratus Germany,Carassius,auratus,Carassius auratus,Germany
Carassius auratus Hungary,Carassius,auratus,Carassius auratus,Hungary
Carassius auratus Italy,Carassius,auratus,Carassius auratus,Italy
Carassius auratus Latvia,Carassius,auratus,Carassius auratus,Latvia
Carassius auratus Lithuania,Carassius,auratus,Carassius auratus,Lithuania
Carassius auratus Netherlands,Carassius,auratus,Carassius auratus,Netherlands
Carassius auratus Poland,Carassius,auratus,Carassius auratus,Poland
Carassius auratus Portugal,Carassius,auratus,Carassius auratus,Portugal
Carassius auratus Romania,Carassius,auratus,Carassius auratus,Romania
Carassius auratus Slovakia,Carassius,auratus,Carassius auratus,Slovakia
Carassius auratus Spain,Carassius,auratus,Carassius auratus,Spain
Carassius auratus Sweden,Carassius,auratus,Carassius auratus,Sweden
Carassius auratus Switzerland,Carassius,auratus,Carassius auratus,Switzerland
Carassius auratus United Kingdom,Carassius,auratus,Carassius auratus,United Kingdom
Carassius carassius Belgium,Carassius,carassius,Carassius carassius,Belgium
Carassius carassius Cyprus,Carassius,carassius,Carassius carassius,Cyprus
Carassius carassius France,Carassius,carassius,Carassius carassius,France
Carassius carassius Spain,Carassius,carassius,Carassius carassius,Spain
Carassius carassius United Kingdom,Carassius,carassius,Carassius carassius,United Kingdom
Carassius gibelio Austria,Carassius,gibelio,Carassius gibelio,Austria
Carassius gibelio Belarus,Carassius,gibelio,Carassius gibelio,Belarus
Carassius gibelio Belgium,Carassius,gibelio,Carassius gibelio,Belgium
Carassius gibelio Czech Republic,Carassius,gibelio,Carassius gibelio,Czechia
