Num;Keys_CS;Genre;Species;Full;Country_list_JN;Country_basemap
1;Aedes aegypti Netherlands;Aedes;aegypti;Aedes aegypti;Netherlands;Netherlands
2;Aedes albopictus Albania;Aedes;albopictus;Aedes albopictus;Albania;Albania
3;Aedes albopictus Belgium;Aedes;albopictus;Aedes albopictus;Belgium;Belgium
4;Aedes albopictus Bosnia and Herzegovina;Aedes;albopictus;Aedes albopictus;Bosnia and Herzegovina;Bosnia and Herzegovina
5;Aedes albopictus Bulgaria;Aedes;albopictus;Aedes albopictus;Bulgaria;Bulgaria
6;Aedes albopictus Croatia;Aedes;albopictus;Aedes albopictus;Croatia;Croatia
7;Aedes albopictus France;Aedes;albopictus;Aedes albopictus;France;France
8;Aedes albopictus Germany;Aedes;albopictus;Aedes albopictus;Germany;Germany
9;Aedes albopictus Greece;Aedes;albopictus;Aedes albopictus;Greece;Greece
10;Aedes albopictus Italy;Aedes;albopictus;Aedes albopictus;Italy;Italy
11;Aedes albopictus Liechtenstein;Aedes;albopictus;Aedes albopictus;Liechtenstein;Liechtenstein
12;Aedes albopictus Malta;Aedes;albopictus;Aedes albopictus;Malta;Malta
13;Aedes albopictus Monaco;Aedes;albopictus;Aedes albopictus;Monaco;Monaco
14;Aedes albopictus Montenegro;Aedes;albopictus;Aedes albopictus;Montenegro;Montenegro
15;Aedes albopictus Netherlands;Aedes;albopictus;Aedes albopictus;Netherlands;Netherlands
16;Aedes albopictus Portugal;Aedes;albopictus;Aedes albopictus;Portugal;Portugal
17;Aedes albopictus Romania;Aedes;albopictus;Aedes albopictus;Romania;Romania
18;Aedes albopictus San Marino;Aedes;albopictus;Aedes albopictus;San Marino;San Marino
19;Aedes albopictus Republic of Serbia;Aedes;albopictus;Aedes albopictus;Republic of Serbia;Republic of Serbia
20;Aedes albopictus Slovakia;Aedes;albopictus;Aedes albopictus;Slovakia;Slovakia
21;Aedes albopictus Slovenia;Aedes;albopictus;Aedes albopictus;Slovenia;Slovenia
22;Aedes albopictus Spain;Aedes;albopictus;Aedes albopictus;Spain;Spain
23;Aedes albopictus Switzerland;Aedes;albopictus;Aedes albopictus;Switzerland;Switzerland
24;Aedes albopictus United Kingdom;Aedes;albopictus;Aedes albopictus;United Kingdom;United Kingdom
25;Aedes atropalpus France;Aedes;atropalpus;Aedes atropalpus;France;France
26;Aedes atropalpus Netherlands;Aedes;atropalpus;Aedes atropalpus;Netherlands;Netherlands
27;Aedes atropalpus Sweden;Aedes;atropalpus;Aedes atropalpus;Sweden;Sweden
28;Aedes flavopictus Netherlands;Aedes;flavopictus;Aedes flavopictus;Netherlands;Netherlands
29;Aedes japonicus Belgium;Aedes;japonicus;Aedes japonicus;Belgium;Belgium
30;Aedes japonicus France;Aedes;japonicus;Aedes japonicus;France;France
31;Aedes japonicus Germany;Aedes;japonicus;Aedes japonicus;Germany;Germany
32;Aedes japonicus Italy;Aedes;japonicus;Aedes japonicus;Italy;Italy
33;Aedes japonicus Liechtenstein;Aedes;japonicus;Aedes japonicus;Liechtenstein;Liechtenstein
34;Aedes japonicus Luxembourg;Aedes;japonicus;Aedes japonicus;Luxembourg;Luxembourg
35;Aedes japonicus Netherlands;Aedes;japonicus;Aedes japonicus;Netherlands;Netherlands
36;Aedes japonicus Slovenia;Aedes;japonicus;Aedes japonicus;Slovenia;Slovenia
37;Aedes japonicus Sweden;Aedes;japonicus;Aedes japonicus;Sweden;Sweden
38;Aedes koreicus Belgium;Aedes;koreicus;Aedes koreicus;Belgium;Belgium
39;Aedes koreicus Italy;Aedes;koreicus;Aedes koreicus;Italy;Italy
40;Aedes koreicus Sweden;Aedes;koreicus;Aedes koreicus;Sweden;Sweden
41;Aedes triseriatus France;Aedes;triseriatus;Aedes triseriatus;France;France
42;Ametropus fragilis Italy;Ametropus;fragilis;Ametropus fragilis;Italy;Italy
43;Ampullaceana balthica Ukraine;Ampullaceana;balthica;Ampullaceana balthica;Ukraine;Ukraine
44;Anopheles pharoensis Belgium;Anopheles;pharoensis;Anopheles pharoensis;Belgium;Belgium
45;Astacus astacus United Kingdom;Astacus;astacus;Astacus astacus;United Kingdom;United Kingdom
46;Atyaephyra desmarestii Austria;Atyaephyra;desmarestii;Atyaephyra desmarestii;Austria;Austria
47;Atyaephyra desmarestii Belgium;Atyaephyra;desmarestii;Atyaephyra desmarestii;Belgium;Belgium
48;Atyaephyra desmarestii France;Atyaephyra;desmarestii;Atyaephyra desmarestii;France;France
49;Atyaephyra desmarestii Germany;Atyaephyra;desmarestii;Atyaephyra desmarestii;Germany;Germany
50;Atyaephyra desmarestii Netherlands;Atyaephyra;desmarestii;Atyaephyra desmarestii;Netherlands;Netherlands
51;Atyaephyra desmarestii Poland;Atyaephyra;desmarestii;Atyaephyra desmarestii;Poland;Poland
52;Atyaephyra desmarestii Switzerland;Atyaephyra;desmarestii;Atyaephyra desmarestii;Switzerland;Switzerland
53;Austropotamobius italicus Italy;Austropotamobius;italicus;Austropotamobius italicus;Italy;Italy
54;Barbronia weberi Austria;Barbronia;weberi;Barbronia weberi;Austria;Austria
55;Barbronia weberi France;Barbronia;weberi;Barbronia weberi;France;France
56;Barbronia weberi Germany;Barbronia;weberi;Barbronia weberi;Germany;Germany
57;Barbronia weberi Italy;Barbronia;weberi;Barbronia weberi;Italy;Italy
58;Bithynia tentaculata Norway;Bithynia;tentaculata;Bithynia tentaculata;Norway;Norway
59;Borysthenia naticina Germany;Borysthenia;naticina;Borysthenia naticina;Germany;Germany
60;Branchiura sowerbyi Austria;Branchiura;sowerbyi;Branchiura sowerbyi;Austria;Austria
61;Branchiura sowerbyi Belgium;Branchiura;sowerbyi;Branchiura sowerbyi;Belgium;Belgium
62;Branchiura sowerbyi Bulgaria;Branchiura;sowerbyi;Branchiura sowerbyi;Bulgaria;Bulgaria
63;Branchiura sowerbyi Czechia;Branchiura;sowerbyi;Branchiura sowerbyi;Czechia;Czechia
64;Branchiura sowerbyi France;Branchiura;sowerbyi;Branchiura sowerbyi;France;France
65;Branchiura sowerbyi Germany;Branchiura;sowerbyi;Branchiura sowerbyi;Germany;Germany
66;Branchiura sowerbyi Ireland;Branchiura;sowerbyi;Branchiura sowerbyi;Ireland;Ireland
67;Branchiura sowerbyi Italy;Branchiura;sowerbyi;Branchiura sowerbyi;Italy;Italy
68;Branchiura sowerbyi Luxembourg;Branchiura;sowerbyi;Branchiura sowerbyi;Luxembourg;Luxembourg
69;Branchiura sowerbyi Moldova;Branchiura;sowerbyi;Branchiura sowerbyi;Moldova;Moldova
70;Branchiura sowerbyi Netherlands;Branchiura;sowerbyi;Branchiura sowerbyi;Netherlands;Netherlands
71;Branchiura sowerbyi Poland;Branchiura;sowerbyi;Branchiura sowerbyi;Poland;Poland
72;Branchiura sowerbyi Portugal;Branchiura;sowerbyi;Branchiura sowerbyi;Portugal;Portugal
73;Branchiura sowerbyi Republic of Serbia;Branchiura;sowerbyi;Branchiura sowerbyi;Republic of Serbia;Republic of Serbia
74;Branchiura sowerbyi Sweden;Branchiura;sowerbyi;Branchiura sowerbyi;Sweden;Sweden
75;Branchiura sowerbyi Switzerland;Branchiura;sowerbyi;Branchiura sowerbyi;Switzerland;Switzerland
76;Branchiura sowerbyi United Kingdom;Branchiura;sowerbyi;Branchiura sowerbyi;United Kingdom;United Kingdom
77;Callinectes danae Italy;Callinectes;danae;Callinectes danae;Italy;Italy
78;Callinectes sapidus Albania;Callinectes;sapidus;Callinectes sapidus;Albania;Albania
79;Callinectes sapidus Belgium;Callinectes;sapidus;Callinectes sapidus;Belgium;Belgium
80;Callinectes sapidus Bulgaria;Callinectes;sapidus;Callinectes sapidus;Bulgaria;Bulgaria
81;Callinectes sapidus Croatia;Callinectes;sapidus;Callinectes sapidus;Croatia;Croatia
82;Callinectes sapidus Denmark;Callinectes;sapidus;Callinectes sapidus;Denmark;Denmark
83;Callinectes sapidus France;Callinectes;sapidus;Callinectes sapidus;France;France
84;Callinectes sapidus Germany;Callinectes;sapidus;Callinectes sapidus;Germany;Germany
85;Callinectes sapidus Greece;Callinectes;sapidus;Callinectes sapidus;Greece;Greece
86;Callinectes sapidus Italy;Callinectes;sapidus;Callinectes sapidus;Italy;Italy
87;Callinectes sapidus Montenegro;Callinectes;sapidus;Callinectes sapidus;Montenegro;Montenegro
88;Callinectes sapidus Netherlands;Callinectes;sapidus;Callinectes sapidus;Netherlands;Netherlands
89;Callinectes sapidus Portugal;Callinectes;sapidus;Callinectes sapidus;Portugal;Portugal
90;Callinectes sapidus Romania;Callinectes;sapidus;Callinectes sapidus;Romania;Romania
91;Callinectes sapidus Ukraine;Callinectes;sapidus;Callinectes sapidus;Ukraine;Ukraine
92;Caspiobdella fadejewi Austria;Caspiobdella;fadejewi;Caspiobdella fadejewi;Austria;Austria
93;Caspiobdella fadejewi France;Caspiobdella;fadejewi;Caspiobdella fadejewi;France;France
94;Caspiobdella fadejewi Germany;Caspiobdella;fadejewi;Caspiobdella fadejewi;Germany;Germany
95;Caspiobdella fadejewi Netherlands;Caspiobdella;fadejewi;Caspiobdella fadejewi;Netherlands;Netherlands
96;Caspiobdella fadejewi Poland;Caspiobdella;fadejewi;Caspiobdella fadejewi;Poland;Poland
97;Caspiobdella fadejewi Switzerland;Caspiobdella;fadejewi;Caspiobdella fadejewi;Switzerland;Switzerland
98;Chaetogammarus placidus Hungary;Chaetogammarus;placidus;Chaetogammarus placidus;Hungary;Hungary
99;Chelicorophium chelicorne Hungary;Chelicorophium;chelicorne;Chelicorophium chelicorne;Hungary;Hungary
100;Chelicorophium chelicorne Ukraine;Chelicorophium;chelicorne;Chelicorophium chelicorne;Ukraine;Ukraine
101;Chelicorophium chelicorne United Kingdom;Chelicorophium;chelicorne;Chelicorophium chelicorne;United Kingdom;United Kingdom
102;Chelicorophium curvispinum Austria;Chelicorophium;curvispinum;Chelicorophium curvispinum;Austria;Austria
103;Chelicorophium curvispinum Belgium;Chelicorophium;curvispinum;Chelicorophium curvispinum;Belgium;Belgium
104;Chelicorophium curvispinum Croatia;Chelicorophium;curvispinum;Chelicorophium curvispinum;Croatia;Croatia
105;Chelicorophium curvispinum Czechia;Chelicorophium;curvispinum;Chelicorophium curvispinum;Czechia;Czechia
