datasetkey;confidence_level;title;text;More;access;reference.1
b5192815-5e90-45b4-a17d-62856a3ead51;1;Monitoring data from the federal state North Rhine-Westphalia (Germany);Kirchhoff N, Dahm V (2017). Monitoring data from the federal state North Rhine-Westphalia (Germany). Version 2.2. BioFresh. Occurrence dataset https://doi.org/10.13148/bfe91 accessed via GBIF.org on 2023-05-17.;The dataset consists of occurrence data of the aquatic organism groups fish, macroinvertebrates and macrophytes that were sampled in the German federal state North Rhine-Westphalia between 2004 and 2009. The sampling was conducted according to the protocols of the national monitoring programme for implementation of the Water Framework Directive. For additional metadata see: http://data.freshwaterbiodiversity.eu/metadb/bf_mdb_view.php?entryID=BFE_91;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Kirchhoff N, Dahm V (2017). Monitoring data from the federal state North Rhine-Westphalia (Germany). Version 2.2. BioFresh. Occurrence dataset https://doi.org/10.13148/bfe91 accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
37f48e00-1fe8-11dc-b461-b8a03c50a862;1;Dutch Foundation for Applied Water Research (STOWA) - Limnodata Neerlandica;Knoben R, van der Wal B (2020). Dutch Foundation for Applied Water Research (STOWA) - Limnodata Neerlandica. Dutch Foundation for Applied Water Research. Occurrence dataset https://doi.org/10.15468/ennulm accessed via GBIF.org on 2023-05-17.;"The Limnodata Neerlandica data set contains the data of more than 30 years systematic and project based sampling of Dutch, mainly freshwater, waterbodies. Data originate from 37 data providers; 26 water boards, the provinces and the Ministry of Transport, Public Works and Water Management. Over 20,000 sample points were used. The main purpose of the dataset is monitoring the quality of Dutch surface waters. Next to the biological characteristics also a-biotic data were sampled and stored alongside the biotic data. Observations are available from phytoplankton, diatoms, aquatic and riparian plants, macro-invertebrates and fish. The data were collected on a yearly base. The taxonomy has been validated according to the Dutch standardised checklist of aquatic species.";Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Knoben R, van der Wal B (2020). Dutch Foundation for Applied Water Research (STOWA) - Limnodata Neerlandica. Dutch Foundation for Applied Water Research. Occurrence dataset https://doi.org/10.15468/ennulm accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
ee0b9239-78c2-42a1-9603-9b0a184752ea;2;CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes d'Aquascop;Inventaire National du Patrimoine Naturel (2020). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes d'Aquascop. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/b9kq4j accessed via GBIF.org on 2023-05-17.;Donn�es naturalistes de la soci�t� Aquascop, identifi�es par Beno�t Lecaplain dans le cadre de la r�cup�ration de pr�l�vements issus de suivi de la qualit� de l'eau ou issues d'un envoi de donn�es identifi�es par les agents d'Aquascop;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Inventaire National du Patrimoine Naturel (2020). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes d'Aquascop. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/b9kq4j accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
78888b83-0b6b-4836-b5a4-dca31206b993;2;CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes d'Aquabio;Inventaire National du Patrimoine Naturel (2022). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes d'Aquabio. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/c4vs69 accessed via GBIF.org on 2023-05-17.;Donn�es naturalistes de la soci�t� Aquabio, identifi�es par Beno�t Lecaplain dans le cadre de la r�cup�ration de pr�l�vements issus de suivi de la qualit� de l'eau ou issues d'un envoi de donn�es identifi�es par les agents d'Aquabio.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Inventaire National du Patrimoine Naturel (2022). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes d'Aquabio. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/c4vs69 accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
75a45d89-5ab2-470c-90df-b15417bf26dc;2;CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes de BOURRU Rémi;Inventaire National du Patrimoine Naturel (2019). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes de BOURRU Rémi. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/t6hvv9 accessed via GBIF.org on 2023-05-17.;Les donn�es issues de l'outil de gestion CardObs et de son application mobile Carnat (hors programme relavant d'un cadre d'acquisition sp�cifique) regroupent les observations de naturalistes exp�riment�s. Ces observations concernent la faune, la flore et la fonge tant continentales que marines. L�emprise g�ographique des saisies couvre la France m�tropolitaine et l�Outre-mer. Les donn�es peuvent �tre opportunistes aussi bien que protocol�es en fonction des utilisateurs, et peuvent disposer de champs compl�mentaires propres � chaque jeu de donn�es. L'outil CardObs a �t� mis en place en 2007 par le Service du Patrimoine Naturel du MNHN. Il est actuellement g�r� par PatriNat (OFB, MNHN, CNRS, IRD).;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Inventaire National du Patrimoine Naturel (2019). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes de BOURRU Rémi. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/t6hvv9 accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
cbaceeb5-5f37-45cf-a1e9-6e38717aec3d;2;La Planète revisitée - Corse 2019-2022 - La Planète Revisitée Corse 2020 : prospections Agriate, Saint-Florent et Cap Corse;Inventaire National du Patrimoine Naturel (2021). La Planète revisitée - Corse 2019-2022 - La Planète Revisitée Corse 2020 : prospections Agriate, Saint-Florent et Cap Corse. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/bwhm6a accessed via GBIF.org on 2023-05-17.;"Observations et pr�l�vements effectu�s lors de la mission ""La Plan�te revisit�e"" en Corse en 2020. Les prospections concernent plusieurs sites dans la zone nord-ouest de la Corse : d�sert des Agriates, Strette de Saint-Florent et Cap Corse. Trois missions de terrain sont concern�es : en juin (7 participants - entomologistes sp�cialis�s dans les H�t�ropt�res, Col�opt�res, L�pidopt�res, Apo�des et Dipt�res Syrphidae); en septembre (2 l�pidopt�ristes, pi�ge lumineux); en octobre (15 participants, sp�cialistes des Arachnides, H�t�ropt�res, Col�opt�res, Hym�nopt�res, Isopodes, Mollusques, Lichens et Fonge). A chaque session, chaque site a �t� �chantillonn�e pendant 2 jours, de fa�on semi-standardis�e (recherche active et pi�geages r�alis�s de la m�me fa�on sur chaque site). Le but est de dresser un inventaire le plus complet possible et de d�tecter des esp�ces rares voire nouvelles au niveau de la Corse. Des �chantillons d'ADN (CO1) g�r�s dans le syst�me BOLD et des photos sont associ�s � une partie des sp�cimens. Un rapport technique d�taille les sites prospect�s, les techniques, participants et premiers r�sultats : https://inpn.mnhn.fr/docs-web/docs/download/364029";Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Inventaire National du Patrimoine Naturel (2021). La Planète revisitée - Corse 2019-2022 - La Planète Revisitée Corse 2020 : prospections Agriate, Saint-Florent et Cap Corse. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/bwhm6a accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
d9f7b2f6-03b3-4cd3-817b-c61949d79b1d;1;Système d’évaluation de l’état des Eaux (SEEE) - Données hydrobiologiques sur l'état des eaux de surface - Système d’évaluation de l’état des Eaux (SEEE) - Invertébrés;Inventaire National du Patrimoine Naturel (2016). Système d’évaluation de l’état des Eaux (SEEE) - Données hydrobiologiques sur l'état des eaux de surface - Système d’évaluation de l’état des Eaux (SEEE) - Invertébrés. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/qnez2y accessed via GBIF.org on 2023-05-17.;Le jeu de donn�es a �t� collect� pour r�aliser des �valuations nationales de l'�tat des eaux en support au processus DCE. Le jeu de donn�es peut ne pas �tre exhaustif et refl�te l'�tat de la donn�e au moment de la collecte.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Inventaire National du Patrimoine Naturel (2016). Système d’évaluation de l’état des Eaux (SEEE) - Données hydrobiologiques sur l'état des eaux de surface - Système d’évaluation de l’état des Eaux (SEEE) - Invertébrés. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/qnez2y accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
66178162-01dc-4133-9b3c-83265481c383;1;TestWat - Macroinvertebrates and macrophytes of freshwater bodies in Flanders, Belgium;Denys L, Packet J (2022). TestWat - Macroinvertebrates and macrophytes of freshwater bodies in Flanders, Belgium. Version 25.5. Research Institute for Nature and Forest (INBO). Occurrence dataset https://doi.org/10.15468/xzpcvv accessed via GBIF.org on 2023-05-17.;Research Institute for Nature and Forest (INBO) ;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Denys L, Packet J (2022). TestWat - Macroinvertebrates and macrophytes of freshwater bodies in Flanders, Belgium. Version 25.5. Research Institute for Nature and Forest (INBO). Occurrence dataset https://doi.org/10.15468/xzpcvv accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
9a73f108-5ee8-4e9b-a1f7-8f2c5f0dc0d6;1;Monitoring data from the federal state Berlin (Germany);Köhler A, Dahm V (2017). Monitoring data from the federal state Berlin (Germany). Version 2.2. BioFresh. Occurrence dataset https://doi.org/10.13148/bfe89 accessed via GBIF.org on 2023-05-17.;;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Köhler A, Dahm V (2017). Monitoring data from the federal state Berlin (Germany). Version 2.2. BioFresh. Occurrence dataset https://doi.org/10.13148/bfe89 accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
505cabc3-7550-4fd1-96dc-6d77d5ffc6de;1;Monitoring data from the federal state Hesse (Germany);Banning M, Dahm V (2017). Monitoring data from the federal state Hesse (Germany). Version 2.2. BioFresh. Occurrence dataset https://doi.org/10.13148/bfe87 accessed via GBIF.org on 2023-05-17.;;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17;Banning M, Dahm V (2017). Monitoring data from the federal state Hesse (Germany). Version 2.2. BioFresh. Occurrence dataset https://doi.org/10.13148/bfe87 accessed via GBIF.org on 2023-05-17.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-17
