HYBAS_ID,flow,rich
2120000480,limno,1
2120000490,limno,1
2120000510,limno,1
2120000530,limno,1
2120000550,limno,2
2120008490,limno,2
2120008530,limno,1
2120008550,limno,1
2120008720,limno,1
2120008930,limno,1
2120008960,limno,1
2120009000,limno,1
2120009020,eury,1
2120009020,limno,1
2120009080,limno,1
2120009250,limno,1
2120009500,eury,1
2120009500,limno,2
2120009850,limno,1
2120009870,eury,1
2120010930,limno,1
2120011360,limno,1
2120011510,eury,1
2120012200,limno,1
2120012260,limno,1
2120012260,rheo,1
2120012310,limno,1
2120012320,limno,1
2120012500,rheo,1
2120012650,limno,1
2120012690,limno,1
2120012700,limno,2
2120012700,rheo,1
2120012740,rheo,1
2120012760,limno,3
2120012760,rheo,2
2120012800,limno,1
2120012800,rheo,2
2120012810,limno,1
2120012930,eury,2
2120012930,limno,8
2120012930,rheo,1
2120012940,eury,2
2120012940,limno,5
2120012940,rheo,1
2120012950,eury,3
2120012950,limno,8
2120012950,rheo,1
2120013000,limno,1
2120013010,eury,4
2120013010,limno,6
2120013020,eury,6
2120013020,limno,7
2120013020,rheo,2
2120013030,eury,5
2120013030,limno,7
2120013030,rheo,1
2120013080,limno,1
2120013120,limno,3
2120013130,eury,1
2120013130,limno,3
2120013140,eury,3
2120013140,limno,6
2120013140,rheo,1
2120013150,limno,2
2120013160,eury,4
2120013160,limno,4
2120013180,eury,2
2120013180,limno,4
2120013180,rheo,1
2120013240,eury,1
2120013240,rheo,2
2120013260,rheo,3
2120013270,limno,2
2120013270,rheo,1
2120013280,eury,1
2120013280,limno,3
2120013280,rheo,4
2120013290,limno,2
2120013290,rheo,1
2120013300,eury,1
2120013300,limno,2
2120013300,rheo,1
2120013340,eury,1
2120013340,limno,3
2120013340,rheo,2
2120013360,limno,1
2120013360,rheo,2
2120013390,limno,3
2120013390,rheo,1
2120013430,limno,2
2120013430,rheo,1
2120013470,limno,2
2120013470,rheo,1
2120013480,limno,1
2120013480,rheo,2
2120013520,rheo,1
2120013580,rheo,1
2120013600,limno,1
2120013600,rheo,1
2120013660,eury,1
2120013660,limno,5
2120013660,rheo,1
2120013760,limno,1
2120013760,rheo,1
2120013780,rheo,1
2120013790,rheo,1
2120013800,limno,1
2120013800,rheo,1
2120013820,rheo,1
2120013840,rheo,1
2120013920,limno,2
2120013920,rheo,1
2120014320,limno,1
2120014340,limno,1
2120014360,limno,1
2120014380,limno,2
2120014480,limno,1
2120014520,limno,1
2120014740,limno,1
2120014740,rheo,1
2120014810,limno,2
2120014810,rheo,1
2120014960,rheo,1
2120014980,rheo,1
2120015010,rheo,1
2120015170,limno,1
2120015260,limno,1
2120015380,limno,1
2120015470,limno,2
2120015480,rheo,1
2120015490,limno,5
2120015490,rheo,1
2120015510,eury,1
2120015510,limno,2
2120015510,rheo,1
2120015520,limno,5
2120015540,limno,2
2120015560,eury,1
2120015560,limno,3
2120015580,eury,1
2120015590,eury,1
2120015640,limno,1
2120015660,rheo,1
2120015670,rheo,2
2120015680,eury,1
2120015680,limno,2
2120015680,rheo,1
2120015700,eury,1
2120015700,limno,1
2120015700,rheo,1
2120015770,limno,1
2120015800,limno,1
2120015820,limno,1
2120015830,limno,1
2120015840,eury,3
2120015840,limno,5
2120015840,rheo,3
2120015850,limno,2
2120015860,limno,1
2120015870,limno,2
2120015880,limno,2
2120015890,rheo,1
2120015920,limno,1
2120015920,rheo,1
2120015940,limno,4
2120015940,rheo,2
2120015960,limno,4
2120015960,rheo,2
2120015970,rheo,1
2120015990,eury,1
2120015990,limno,4
2120015990,rheo,1
2120016020,limno,2
2120016050,eury,2
2120016050,limno,2
2120016050,rheo,2
2120016060,limno,1
2120016070,rheo,1
2120016080,limno,6
2120016120,rheo,1
2120016130,limno,1
2120016130,rheo,2
2120016140,rheo,3
2120016150,rheo,2
2120016160,rheo,3
2120016170,rheo,2
2120016180,rheo,2
2120016190,rheo,2
2120016200,rheo,1
2120016210,rheo,1
2120016220,rheo,2
2120016240,rheo,2
2120016270,limno,1
2120016280,limno,1
2120016280,rheo,1
2120016290,limno,1
2120016300,rheo,1
2120016320,limno,4
2120016320,rheo,1
2120016330,eury,1
2120016330,limno,6
2120016340,eury,1
2120016340,limno,4
2120016340,rheo,1
2120016350,limno,1
2120016360,limno,1
2120016380,limno,2
2120016390,eury,2
2120016390,limno,4
2120016400,limno,5
2120016410,eury,1
2120016410,limno,4
2120016440,limno,3
2120016440,rheo,2
2120016450,eury,1
2120016450,limno,3
2120016470,eury,1
2120016470,limno,6
2120016500,eury,2
2120016500,limno,6
2120016500,rheo,1
2120016510,eury,2
2120016510,limno,3
2120016510,rheo,1
2120016520,limno,1
2120016530,eury,1
2120016530,limno,3
2120016540,limno,2
2120016580,eury,2
2120016580,limno,7
2120016580,rheo,1
2120016600,eury,2
2120016600,limno,7
2120016600,rheo,1
2120016620,eury,1
2120016620,limno,5
2120016620,rheo,1
2120016640,eury,2
2120016640,limno,6
2120016640,rheo,1
2120016650,limno,1
2120016680,eury,2
2120016680,limno,7
2120016680,rheo,3
2120016700,eury,2
2120016700,limno,5
2120016700,rheo,2
2120016710,limno,1
2120016720,eury,3
2120016720,limno,6
2120016720,rheo,3
2120016750,eury,2
2120016750,limno,6
2120016790,limno,3
2120016790,rheo,1
2120016810,limno,4
2120016810,rheo,1
2120016820,limno,1
2120016830,eury,1
2120016830,limno,4
2120016850,eury,1
2120016850,limno,5
2120016870,eury,1
2120016870,limno,7
2120016880,limno,5
2120016880,rheo,1
2120016900,limno,2
2120016940,limno,1
2120016970,limno,1
2120016980,limno,1
2120017000,limno,1
2120017010,limno,1
2120017170,limno,1
2120017190,eury,1
2120017190,limno,3
2120017220,limno,3
2120017250,limno,4
2120017260,limno,5
2120017280,limno,4
2120017300,eury,1
2120017300,limno,4
2120017310,limno,2
2120017320,limno,2
2120017330,limno,3
2120017340,limno,2
2120017350,limno,4
2120017360,limno,1
2120017370,limno,4
2120017390,eury,1
2120017390,limno,5
2120017400,limno,4
2120017410,limno,1
2120017420,limno,3
2120017430,limno,3
2120017440,eury,1
2120017440,limno,4
2120017450,eury,1
2120017450,limno,5
2120017460,eury,1
2120017460,limno,5
2120017470,eury,1
2120017470,limno,4
2120017480,eury,1
2120017480,limno,5
2120017490,limno,5
2120017500,limno,5
2120017510,limno,2
2120017530,limno,4
2120017540,limno,1
2120017550,limno,1
2120017570,limno,2
2120017580,limno,3
2120017610,limno,2
2120017660,limno,2
2120017670,limno,1
2120017680,limno,1
2120017690,eury,1
2120017690,limno,3
2120017710,limno,1
2120017920,limno,1
2120017960,limno,1
2120017980,limno,3
2120018020,limno,1
2120018110,limno,2
2120018230,limno,3
2120018260,limno,1
2120018360,,1
2120018360,limno,4
2120018470,limno,1
2120018480,limno,1
2120018570,eury,1
2120018580,limno,1
2120018580,rheo,1
2120018620,limno,1
2120018630,limno,1
2120018700,limno,1
2120018760,limno,2
2120018770,limno,2
2120018840,limno,1
2120018870,limno,4
2120018940,limno,1
2120018970,limno,1
2120019060,limno,1
2120019150,limno,2
2120019160,limno,2
2120019180,limno,1
2120019330,limno,1
2120019390,limno,1
2120019550,limno,1
2120019690,limno,1
2120019840,limno,1
2120020120,limno,2
2120020130,limno,2
2120020140,limno,1
2120020180,limno,1
2120020200,limno,1
2120020240,limno,1
2120020270,limno,2
2120020300,limno,1
2120020300,rheo,3
2120020310,limno,6
2120020310,rheo,1
2120020320,limno,2
2120020330,eury,1
2120020330,limno,3
2120020350,limno,4
2120020360,limno,6
2120020380,eury,1
2120020380,limno,5
2120020380,rheo,2
2120020390,limno,2
2120020400,eury,1
2120020400,limno,3
2120020400,rheo,1
2120020440,eury,2
2120020440,limno,2
2120020450,eury,2
2120020450,limno,3
2120020460,limno,3
2120020460,rheo,1
2120020470,eury,1
2120020470,limno,4
2120020470,rheo,2
2120020480,eury,2
2120020480,limno,5
2120020480,rheo,1
2120020490,limno,2
2120020500,eury,1
2120020500,limno,5
2120020520,eury,1
2120020520,limno,6
2120020520,rheo,1
2120020530,limno,3
2120020530,rheo,1
2120020540,eury,1
2120020540,limno,5
2120020540,rheo,1
2120020560,eury,1
2120020560,limno,4
2120020560,rheo,1
2120020570,limno,2
2120020580,limno,2
2120020590,eury,1
2120020590,limno,8
2120020590,rheo,1
2120020630,eury,1
2120020630,limno,5
2120020630,rheo,1
2120020640,eury,1
2120020640,limno,3
2120020650,eury,2
2120020650,limno,5
2120020650,rheo,1
2120020660,limno,2
2120020660,rheo,1
2120020670,limno,3
2120020720,eury,1
2120020720,limno,4
2120020750,limno,3
2120020770,eury,1
2120020770,limno,4
2120020800,eury,2
2120020800,limno,6
2120020810,eury,1
2120020820,eury,2
2120020820,limno,3
2120020830,eury,1
2120020830,limno,4
2120020840,limno,1
