HYBAS_ID,x,eury_occ,limno_occ,rheo_occ
2120018360,59,0,44,0
2120023030,1,11,20,0
2120023230,1,14,40,0
2120230790,1,0,0,0
2120379530,1,13,64,0
2120387440,1,10,7,7
2120429820,3,0,0,0
2120437520,2,0,0,0
2120472570,1,0,0,0
2120506530,7,19,25,6
2120509090,9,20,30,8
2120512230,18,50,89,55
2120512240,2,9,31,9
2120517020,24,42,54,21
2120519720,13,19,20,6
2120519790,11,2,5,22
2120519940,1,18,16,21
2120520800,9,23,21,14
2120527320,9,23,26,16
2120551110,1,24,15,4
2120579410,2,0,1,0
2120588050,1,0,0,0
2120595490,3,0,0,0
2120708100,2,0,28,0
2120708210,2,0,65,0
2120708450,17,0,23,0
2120708560,10,0,14,0
2121184540,1,3,14,6
2121204540,1,0,0,0
2121205650,1,0,0,0
2120009020,0,1,1,0
2120009500,0,2,4,0
2120009870,0,1,0,0
2120011510,0,2,0,0
2120012930,0,2,9,1
2120012940,0,2,5,1
2120012950,0,3,19,1
2120013010,0,8,11,0
2120013020,0,26,17,2
2120013030,0,16,21,1
2120013130,0,2,5,0
2120013140,0,11,16,2
2120013160,0,10,8,0
2120013180,0,6,14,4
2120013240,0,2,0,6
2120013280,0,2,14,40
2120013300,0,2,4,2
2120013340,0,4,10,4
2120013660,0,1,5,1
2120015510,0,4,6,2
2120015560,0,2,7,0
2120015580,0,4,0,0
2120015590,0,2,0,0
2120015680,0,2,5,3
2120015700,0,1,1,7
2120015840,0,4,6,5
2120015990,0,2,14,4
2120016050,0,6,7,5
2120016330,0,1,35,0
2120016340,0,1,9,1
2120016390,0,2,5,0
2120016410,0,1,6,0
2120016450,0,1,3,0
2120016470,0,4,31,0
2120016500,0,3,11,2
2120016510,0,13,66,1
2120016530,0,1,4,0
2120016580,0,29,69,2
2120016600,0,6,57,1
2120016620,0,7,37,1
2120016640,0,2,37,2
2120016680,0,25,158,20
2120016700,0,3,18,4
2120016720,0,34,54,6
2120016750,0,22,94,0
2120016830,0,1,27,0
2120016850,0,1,41,0
2120016870,0,2,34,0
2120017190,0,2,11,0
2120017300,0,11,62,0
2120017390,0,2,213,0
2120017440,0,2,44,0
2120017450,0,7,101,0
2120017460,0,8,100,0
2120017470,0,2,54,0
2120017480,0,18,90,0
2120017690,0,2,8,0
2120018570,0,1,0,0
2120020330,0,2,7,0
2120020380,0,1,12,4
2120020400,0,2,13,3
2120020440,0,2,6,0
2120020450,0,5,8,0
2120020470,0,1,9,5
2120020480,0,3,26,1
2120020500,0,5,35,0
2120020520,0,5,28,3
2120020540,0,1,10,3
2120020560,0,2,21,2
2120020590,0,1,13,1
2120020630,0,1,11,1
2120020640,0,1,4,0
2120020650,0,3,21,1
2120020720,0,3,43,0
2120020770,0,1,11,0
2120020800,0,2,29,0
2120020810,0,1,0,0
2120020820,0,2,3,0
2120020830,0,3,7,0
2120020960,0,2,6,0
2120020970,0,1,4,0
