datasetkey;confidence_level;title;text;access;reference
95e635d4-f762-11e1-a439-00145eb45e9a;2;Banco de Datos de la Biodiversidad de la Comunitat Valenciana;Generalitat Valenciana (2023). Banco de Datos de la Biodiversidad de la Comunitat Valenciana. Biodiversity data bank of Generalitat Valenciana. Occurrence dataset https://doi.org/10.15468/b4yqdy accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Generalitat Valenciana (2023). Banco de Datos de la Biodiversidad de la Comunitat Valenciana. Biodiversity data bank of Generalitat Valenciana. Occurrence dataset https://doi.org/10.15468/b4yqdy accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
5f15bccf-9f93-41c9-8de3-34887b2a76c9;1;Fishes in MZNA-VERT: baseline  freshwater sampling campaigns;Museum of Zoology M, Rodeles A A, Galicia D (2021). Fishes in MZNA-VERT: baseline  freshwater sampling campaigns. Version 2.4. University of Navarra – Department of Environmental Biology. Occurrence dataset https://doi.org/10.15470/czwedx accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Museum of Zoology M, Rodeles A A, Galicia D (2021). Fishes in MZNA-VERT: baseline  freshwater sampling campaigns. Version 2.4. University of Navarra – Department of Environmental Biology. Occurrence dataset https://doi.org/10.15470/czwedx accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
891df84a-96d6-44ea-bab0-6471d51acff0;1;EDP Baixo Sabor: Fishes – Ecological Monitoring Program [2012];Mota P, Vingada J V, Diogo H, Ferreira J, Múrias T (2021). EDP Baixo Sabor: Fishes – Ecological Monitoring Program [2012]. Version 1.1. EDP - Energias de Portugal. Sampling event dataset https://doi.org/10.15468/k996s4 accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Mota P, Vingada J V, Diogo H, Ferreira J, Múrias T (2021). EDP Baixo Sabor: Fishes – Ecological Monitoring Program [2012]. Version 1.1. EDP - Energias de Portugal. Sampling event dataset https://doi.org/10.15468/k996s4 accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
80d4429a-0b88-4952-b943-5999324b805f;1;LTER Baixo Sabor: Long term monitoring of freshwater fish - Sabor watershed [2012 - 2020];Beja P, Motta-Ferreira M, Filpe A F, Carona S, Henrique P, Severino R, Ivone S, Henrique S, Prata D, Lopes J, Guilherme J, Barradas J, Cereja R, Pace G, Rosa I, Pinto M, Agudelo W, Buzzo G, Sá F, Quaglietta L, Pereira N, Múrias T (2021). LTER Baixo Sabor: Long term monitoring of freshwater fish - Sabor watershed [2012 - 2020]. Version 1.3. CIBIO (Research Center in Biodiversity and Genetic Resources) Portugal. Sampling event dataset https://doi.org/10.15468/pep8ma accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Beja P, Motta-Ferreira M, Filpe A F, Carona S, Henrique P, Severino R, Ivone S, Henrique S, Prata D, Lopes J, Guilherme J, Barradas J, Cereja R, Pace G, Rosa I, Pinto M, Agudelo W, Buzzo G, Sá F, Quaglietta L, Pereira N, Múrias T (2021). LTER Baixo Sabor: Long term monitoring of freshwater fish - Sabor watershed [2012 - 2020]. Version 1.3. CIBIO (Research Center in Biodiversity and Genetic Resources) Portugal. Sampling event dataset https://doi.org/10.15468/pep8ma accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
2a06f469-2c4d-4682-bb57-255b54a0c3be;1;Programa de seguimiento del estado de las aguas - Sistema de Información de la Naturaleza de Euskadi;Eusko Jaurlaritza - Gobierno Vasco, Iturribarria M (2022). Programa de seguimiento del estado de las aguas - Sistema de Información de la Naturaleza de Euskadi. Basque Government. Sampling event dataset https://doi.org/10.15468/tqea2e accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Eusko Jaurlaritza - Gobierno Vasco, Iturribarria M (2022). Programa de seguimiento del estado de las aguas - Sistema de Información de la Naturaleza de Euskadi. Basque Government. Sampling event dataset https://doi.org/10.15468/tqea2e accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
9cb4fdf2-49b3-4564-a929-00d16a456b67;1;Fishes in MZNA-VERT: ecological assessment of the Aragon river in Sangüesa (Spain);Museum of Zoology M, Rodeles A A, Galicia D (2021). Fishes in MZNA-VERT: ecological assessment of the Aragon river in Sangüesa (Spain). Version 1.4. University of Navarra – Department of Environmental Biology. Occurrence dataset https://doi.org/10.15470/msoj1m accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Museum of Zoology M, Rodeles A A, Galicia D (2021). Fishes in MZNA-VERT: ecological assessment of the Aragon river in Sangüesa (Spain). Version 1.4. University of Navarra – Department of Environmental Biology. Occurrence dataset https://doi.org/10.15470/msoj1m accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
0b5f972e-0f84-4d07-9b84-96c09e2925da;1;Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche partielle par points - ASPE - OFB;Inventaire National du Patrimoine Naturel (2021). Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche partielle par points - ASPE - OFB. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/q1g8w7 accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Inventaire National du Patrimoine Naturel (2021). Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche partielle par points - ASPE - OFB. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/q1g8w7 accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
889d8d01-872f-4739-b3ba-d180e0233535;1;Regroupement d'études et inventaires de la Réserve Naturelle de l'Etang des Landes - FR3600158 - Ensemble des données;Inventaire National du Patrimoine Naturel (2021). Regroupement d'études et inventaires de la Réserve Naturelle de l'Etang des Landes - FR3600158 - Ensemble des données. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/x8gy63 accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Inventaire National du Patrimoine Naturel (2021). Regroupement d'études et inventaires de la Réserve Naturelle de l'Etang des Landes - FR3600158 - Ensemble des données. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/x8gy63 accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
5493898c-5e23-4e9c-a8ee-328e7167685f;1;Long-term monitoring of  fish (abundance and distribution) in Doñana Wetlands 2004-2019;Bravo Utrera M A, Román I, Arribas R, Andreu A C, Márquez Ferrando R (2023). Long-term monitoring of  fish (abundance and distribution) in Doñana Wetlands 2004-2019. Version 1.1. Estación Biológica de Doñana (CSIC). Sampling event dataset https://doi.org/10.15470/bldb7y accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Bravo Utrera M A, Román I, Arribas R, Andreu A C, Márquez Ferrando R (2023). Long-term monitoring of  fish (abundance and distribution) in Doñana Wetlands 2004-2019. Version 1.1. Estación Biológica de Doñana (CSIC). Sampling event dataset https://doi.org/10.15470/bldb7y accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
da076629-fb18-4558-a9c1-6eaa55d69056;1;Données LPO Réserves Naturelles Nationales - Données des réserves naturelles nationales gérées par la Ligue pour la protection des oiseaux (LPO);Inventaire National du Patrimoine Naturel (2021). Données LPO Réserves Naturelles Nationales - Données des réserves naturelles nationales gérées par la Ligue pour la protection des oiseaux (LPO). UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/wnwf23 accessed via GBIF.org on 2023-05-24.;Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24;Inventaire National du Patrimoine Naturel (2021). Données LPO Réserves Naturelles Nationales - Données des réserves naturelles nationales gérées par la Ligue pour la protection des oiseaux (LPO). UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/wnwf23 accessed via GBIF.org on 2023-05-24.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24
